Unique_Author,File_changed,Insertions,Deletions,Issue
Karl Weinmeister,2,20,8,0
Mihail Salnikov,1,2,2,0
Eric Liu,73,2274,265,0
yonghuiguo,2,4,0,0
Mani Varadarajan,2,3,3,0
Hoeseong Kim,25,698,53,0
Shahzad Lone,3,23,21,0
Andrew Cotter,23,2802,81,0
王振华 (WANG Zhenhua),5,37,6,0
Supriya Rao,55,1785,761,0
drpngx,461,23320,3973,0
Vikram Tiwari,5,13,9,0
Sherry Yang,12,331,98,0
Joseph Friedman,1,0,0,0
Roy Frostig,74,5103,602,0
Michael Case,1220,15407,118466,1
Mr. metal,2,3,0,0
dmitrievanthony,26,642,763,0
Thomas Deegan,11,104,53,0
I-Hong Jhuo,1,2,2,0
ctiijima,6,38,47,0
Gautam,11,17,13,0
Mark Collier,11,796,427,0
Felix Lemke,1,0,0,0
Chao Liu,1,0,0,0
Mike Holcomb,1,3,3,0
MattConley,3,0,0,0
Miguel Morin,1,4,0,0
Dheeraj Rajaram Reddy,30,769,175,0
tomguluson92,4,0,0,0
Spencer Schaber,4,8,7,0
Marek Drozdowski,31,671,225,0
Jonas Rauber,9,15,14,0
Dayananda V,8,19,24,0
Asim Shankar,1621,60682,20023,3
Samantha Andow,3,27,10,0
Saurabh Deoras,1,2,0,0
Nutti,5,14,14,0
Mark Heffernan,1974,61185,24528,2
Jia Qingtong,1,0,0,0
Ilango R,1,0,0,0
ktaebum,1,0,0,0
Adam Weiss,1,11,10,0
awesomealex1,1,6,6,0
Laurent Le Brun,1,4,4,0
manhyuk,28,16,16,0
Mickaël Schoentgen,14,28,28,0
Ben Zinberg,3,30,29,0
Heungsub Lee,2,0,0,0
Kay Zhu,612,16538,11322,5
Christoph Boeddeker,11,188,0,0
Vishwak Srinivasan,1,0,0,0
Jakub Lipinski,2,11,2,0
Yves-Noel Weweler,12,225,70,0
mars20,1,5,0,0
vitor-alves,1,0,0,0
Innovimax,1,0,0,0
Ilya Biryukov,50,444,331,0
WeberXie,2,8,6,1
Taylor Thornton,2,12,4,0
Ashwin Ramaswami,2,5,5,0
jcf94,11,50,48,0
Joe Quadrino,1,3,0,0
Pavel Samolysov,2,5,0,0
WeijieSun,1,0,10,0
Keno Fischer,20,508,17,0
Daniel Rasmussen,14,207,118,0
Steve Lang,1,0,0,0
Gautam Vasudevan,3,68,341,0
Federico Martinez,1,0,2,0
avijit-nervana,44,444,252,0
Goldie Gadde,23,89,54,0
Viacheslav Kovalevskyi,18,296,43,0
hyunyoung,1,0,0,0
Jacky Ko,33,162,114,0
Jing Li,10,1191,10,0
Meng Peng,10,157,143,0
Luke Han,1,2,3,0
Daniel Ingram,1,3,3,0
neargye,5,5,15,0
Dan Jarvis,5,56,4,0
Andy Craze,4,12,6,0
Steve Nesae,3535,191511,85826,0
Dalmo Cirne,12,60,30,0
Nayana-ibm,1,2,0,0
卜居,6,52,57,0
lxl910915,1,3,0,0
vanderliang,2,25,0,0
Vidak Kazic,2,62,0,0
Chris Antaki,5,3,5,0
Serge Panev,4,4,2,0
John Lin,10,10,10,0
Neargye,1,2,2,0
Younes Khoudli,1,5,0,0
Leon Graser,1,0,0,0
Wen yun,2,23,0,0
Benjamin Tan Wei Hao,1,0,0,0
qiezi,1,12,0,0
Feiyang Chen,1,0,0,0
Sandip Giri,16,55,29,1
Rajagopal Ananthanarayanan,2,9,23,0
Castiel,1,2,0,0
Jonathan,3,19,13,0
Cibifang,17,698,80,0
akikaaa,1,0,0,0
olicht,10,157,158,0
zhaoyongke,5,240,5,0
Ouwen Huang,4,26,4,0
sahilbadyal,1,0,0,0
Yash Gaurkar,1,4,4,0
Vadim Borisov,1,2,2,0
Anders Huss,3,132,17,1
Peng Yu,35,872,44,0
NEWPLAN,1,0,0,0
Dustin Tran,161,8602,4417,0
Daniel Hunter,1,0,0,0
Ubuntu,7,278,190,1
Jiang Zhoulong,12,740,325,1
Anton Dmitriev,200,6802,1731,0
zldrobit,6,67,54,0
fcole,1,4,0,0
dianlujitao,3,14,9,0
joaak,2,1158,1168,0
Grzegorz George Pawelczak,1,0,4,0
Mateusz Chudyk,4,5,5,0
Thor Johnsen,21,8973,3163,0
Artem Malykh,11,1211,0,0
Michael,6,77,47,0
Todd Wang,266,4068,2532,3
HuiyangFei,4,18,449,0
Javier Luraschi,5,11,10,0
Pedro Monreal,18,25,25,0
Daniel Visentin,2,7,5,0
BY Shen,2,0,0,0
margaretmz,12,2048,1758,0
Rholais Lii,5,32,29,0
Anna Revinskaya,4,0,31,0
Jonathan J Hunt,10,280,49,0
Yaniv Blumenfeld,8,35,33,0
Jonathan Wyatt Hoech,20,443,53,0
Palmer Lao,1,0,0,0
Josh Gordon,5,956,1043,0
Gitea,6,12,12,0
Brendan Finan,1,0,0,0
Cong Xu,6,616,5,0
Roger Iyengar,2,8,17,0
steven,10,435,87,0
Brian Nemsick,2,0,0,0
Deepak B,19,285,164,1
Seunghoon Park,2,24,0,0
Raghuraman Krishnamoorthi,156,5230,1532,0
wateryzephyr,1,21,12,0
Shimin Guo,8,13,2,0
Shafi Dayatar,1,13,2,0
himkt,1,5,5,0
knight,3,20,21,0
Richard Wei,10,60,84,0
Alexis Louis,1,3,3,0
rachellj218,1,7,0,0
Jason Furmanek,7,126,49,0
Muhammad Wildan,4,13,2,0
Scott Leishman,2,6,2,0
Pavel Sountsov,2,85,78,0
Li Yiqiang,13,162,165,0
Makoto Uchida,14,118,43,0
Marcela Morales Quispe,2,12,9,0
jackonan,4,8,4,0
Nehal J Wani,4,4,2,0
Yicheng Fan,10,102,125,0
shengfuintel,4,41,4087,0
Andreas Madsen,16,960,14,0
Tingbo Lu,1,0,0,0
Andrew Banchich,1,0,0,0
YongJoon Lee,3,5,5,0
Christopher Olston,78,5345,388,0
joe yearsley,3,5,5,0
Joe Yearsley,10,23,7,0
josephyearsley,9,47,14,0
lanhin,3,0,0,0
knightXun,1,3,0,0
Piotr Padlewski,149,6166,1608,0
franklin5,2,4,4,0
Rin Arakaki,3,4,4,0
IMBurbank,39,346,95,0
Dave Airlie,3,3,0,0
William Irons,1,2,0,0
Isaac Burbank,2,0,78,0
Richard Yu,4,9,9,0
Debidatta Dwibedi,3,39,5,0
Steven,10,500,26,0
Yutaka Leon,130,7920,2227,0
Dougal J. Sutherland,3,476,3,0
Roland Fernandez,1,0,0,0
Elms,1,0,0,0
Yanbo Liang,18,168,55,0
manipopopo,6,243,82,0
Shujian2015,1,3,4,0
Moritz Kröger,1,5,4,0
David G. Andersen,213,3496,1627,0
Max Pumperla,1,38,38,0
Akshay Agrawal,337,9704,5402,0
Samuel Matzek,6,85,33,0
Jenny Sahng,2,2,2,0
leondgarse,3,2,9,0
(David) Siu-Kei Muk,14,155,106,0
Rasmi Elasmar,4,10,0,0
Joppe Geluykens,2,4,3,0
hellcom,1,0,0,0
Johannes Bannhofer,1,0,0,0
Olivia Nordquist,389,6150,4956,4
Smokrow,3,20,5,0
pengwa,16,25,46,1
Edvard Fagerholm,1,7,2,0
Jonathan Homer,1,3,3,0
在原佐为,4,3,3,0
Vinícius Camargo,1,3,3,0
Roger Xin,1,2,2,0
Sangjung Woo,1,0,0,0
coder3101,2,8,8,1
Patrik Sundberg,15,2507,589,0
Naurril,2,4,0,0
Ming Li,2,0,0,0
naurril,8,67,46,0
Yao Zhang,533,21712,3975,0
weidankong,20,735,182,0
Misha Brukman,14,64,56,0
Keishi Hattori,1,4,3,0
Stefan Dyulgerov,6,110,29,1
Santosh Kumar,1,2,2,0
Dao Zhang,1,3,3,0
Avijit,28,3153,2474,0
Zafarali Ahmed,3,86,0,0
Vikram Tankasali,100,11,28870,0
gracehoney,400,7324,6264,1
Soila Kavulya,30,457,351,0
Kate Hodesdon,2,0,0,0
Aapeli,1,0,2,0
Artem Sobolev,2,0,2,0
Mehdi Sharifzadeh,6,514,514,0
Vitaly Lavrukhin,4,28,16,0
feiquan,3,20,0,0
kouml,2,2,2,0
bstriner,6,38,40,0
formath,13,135,89,0
Ruizhi,4,2,2,0
Wesley Qian,15,970,99,0
Patrick Nguyen,1014,31015,15197,0
Seb Bro,5,8,9,0
npow,2,17,12,0
Jiawei Zhang,1,2,2,0
Robin Richtsfeld,66,1110,615,1
rasmi,3,2,0,0
Reeze Xia,2,2,2,0
melvinljy96,2,10,6,0
Xuechen Li,104,7273,3446,1
Niall Moran,2,10,7,0
weidan.kong,2,246,44,0
Monica Dinculescu,1,3,3,0
Vicente Reyes,1,0,0,0
silent567,1,2,2,0
Justin Shenk,3,2,2,0
Andrew Gibiansky,7,9,7,1
Pei Zhang,1,3,3,0
ThisIsPIRI,2,7,4,0
cbockman,3,5,2,1
Max Galkin,71,1770,729,0
Raymond Yuan,8,402,13,1
Daniel Zheng,3,11,12,0
sfujiwara,1,2,2,0
Johannes Schmitz,1,2,2,0
David,1,0,0,0
Áron Ricardo Perez-Lopez,1,0,0,0
Rakesh Chada,3,15,12,0
CUI Wei,1,0,0,0
Matt Dodge,1,2,2,0
Rui Zhao,23,276,408,0
hehongliang,6,250,107,0
cosine0,1,0,0,0
shaohua,1,2,2,1
Guoliang Hua,1,2,0,0
Yoshihiro Yamazaki,7,16,3,0
Man Yuan,1,0,0,0
Herman Zvonimir Došilović,2,0,4,0
Jie,263,7653,4151,1
Shaba Abhiram,6,104,67,0
adoda,1,0,0,0
Eliel Hojman,2,2,2,0
Anirudh Koul,1,0,0,0
Miguel Mota,1,0,0,0
KB Sriram,72,3172,672,0
XFeiF,1,15,10,0
Ray Kim,1,0,0,0
qwertWZ,1,0,0,0
Nick Desaulniers,122,1945,930,0
Sunitha Kambhampati,10,95,21,0
Peng Wang (SIMPENG),2,0,0,0
Jacker,1,4,7,0
vilmar-hillow,1,0,0,0
cheerss,1,2,2,0
wim glenn,1,8,8,0
Kenneth Blomqvist,1,0,0,1
Jongmin Park,1,0,0,0
Paul Woitaschek,4,9,5,0
Pratik Kalshetti,1,0,0,0
Amogh Mannekote,3,37,49,0
Jan Horst Hünnemeyer,9,16,16,0
Jon Perl,3,2,0,0
Shashi,2,4,2,0
wangershi,1,4,2,0
Nafis Sadat,1,201,0,0
tianyapiaozi,1,4,4,0
Rodrigo Silveira,1,0,0,0
Li Liangbin,7,41,12,0
Dmitry Klimenkov,4,16,16,0
Pradeep Banavara,2,109,14,0
kjopek,1,0,0,0
SneakyFish5,2,3,3,0
mktozk,14,405,37,0
TShapinsky,1,0,0,0
Alex Wiltschko,2,63,114,0
Nitish,1,0,0,0
Bjørn Moholt,1,0,0,0
Andrew Ginns,1,0,0,0
Tristan Rice,14,648,28,0
张晓飞,1,0,0,0
Mahmoud Aslan,1,0,0,0
nrstott,16,124,20,0
张天启,1,0,0,0
Dan J,7,75,21,0
Terry Koo,5,65,14,0
PENGWA,7,39,23,1
Tony Wang,49,1308,494,0
Jon Triebenbach,5,37,2,0
Parag Jain,1,0,0,0
Nicolas Lopez,3,24,2,0
Dan Dascalescu,1,0,0,0
Yu YI,1,4,4,0
"freedom"" Koan-Sin Tan",55,1629,67,0
Zé Vinícius,1,0,0,0
xxxx001,15,147,147,0
Christian Ertler,8,527,40,0
Peng Wang(SIMPENG),2,11,0,0
Jayaram Bobba,58,2953,2550,0
Andrei Nigmatulin,14,161,32,0
Yu Yi,2,231,245,0
Naman Bhalla,2,0,0,0
Wenyi Tang,15,304,57,0
Vikram,1,4,4,0
Rafal Wojdyla,2,29,0,0
Jongmin Baek,1,0,0,0
Martin Patz,1,0,0,0
Dan Osipov,16,58,128,0
ManHyuk,112,121,121,0
chinmay Das,1,0,0,0
Younghee Kwon,102,9286,776,0
Jiandong Ruan,1,2,2,0
Mohammad Ashraf Bhuiyan,6,233,6,1
ruanjiandong,2,21,0,0
Steven Schmatz,1,2,2,0
Taras Sereda,1,0,0,0
Jason Taylor,1,0,0,0
Surry Shome,1,0,3,0
maxpumperla,1,39,21,0
Emanuele Ballarin,2,11,0,0
jiefangxuanyan,3,32,10,1
hsm207,4,4,4,0
Madiyar,1,0,2,0
SRIRAM VETURI,1,0,0,0
Nishidha,8,77,25,0
Hsien-Yang Li,3,98,9,0
accraze,3,23,8,0
tucan,2,0,0,0
Karan Kaw,3,0,0,0
Chikanaga Tomoyuki,5,53,2,0
Benjamin H. Myara,2,3,3,0
chengzhi chen,7,115,9,0
An Jiaoyang,1,2,2,0
apantykhin,2,17,5,0
Jesse,4,7,8,0
Courtial Florian,8,167,15,0
KinmanLam,1,0,3,0
vchigrin,11,510,134,0
Dan Douthit,2,11,36,0
G K,3,9,3,0
Frédéric Branchaud-Charron,4,68,18,0
jsawruk,1,2,2,0
ImSheridan,75,342,335,2
leiiwang,1,8,2,0
Roland Zimmermann,2,167,61,0
Martin Zeitler,1,3,3,0
Benoit Steiner,3723,327386,137069,4
Xiaoqiang Zheng,317,12854,3325,0
Felix Abecassis,11,30,26,0
Jesse Benson,1,4,0,0
JxKing,14,1166,35,0
Chris Ying,37,1116,286,0
Florian Courtial,10,387,170,0
Rob Sloan,6,900,642,0
Guido Zuidhof,1,0,0,0
voegtlel,2,36,30,0
braincodercn,1,0,0,0
Brian Zier,1,2,2,0
AD-530,1,2,0,0
crafet,1,0,2,0
Ankur Taly,146,1679,326,0
Sdalbsoo,1,2,2,0
Justine Tunney,2275,100129,89929,0
Fergal Cotter,1,4,4,0
gdh1995,2,11,0,0
Sarah Edkins,1,0,0,0
soonson,1,25,4,0
Nand Dalal,4,71,7,0
Qing ZHao,1,0,0,0
Bruno Goncalves,1,2,0,0
krantideep95,2,0,0,0
Jesse Gumz,2,12,2,0
u2takey,1,3,0,0
Utkarsh Upadhyay,2,14,3,0
Joel Hestness,31,3145,204,0
Yilei (Dolee) Yang,1,3,3,0
Jan Zikes,3,8,9,0
Paul Van Eck,18,108,51,0
pillarpond,1,2,0,0
Achal Shah,1,0,0,0
P-Hidringer,1,0,0,0
Smit Shilu,3,0,2,0
Zhixian Yan,38,1959,142,0
Letian Feng,3,3,5,0
jjsjann123,12,355,498,0
tucan9389,1,0,0,1
Krish Ravindranath,7,18,12,0
Anya Petrova,1,0,0,0
Aditya Yogi,1,0,0,0
Nicholas Nadeau P.Eng. AVS,86,97,98,0
Elson Rodriguez,2,69,16,0
Mostafa Alaa,1,0,0,0
joel-shor,55,663,444,0
Maciej,2,7,4,0
Eli Bendersky,662,3705,6299,0
rmanyari,1,0,0,0
Sherry Moore,206,9064,1054,0
QingYing Chen,4,254,11,0
Stefan Schweter,1,0,0,0
Sandeep N Gupta,3,138,53,0
Malcolm Reynolds,12,162,83,0
Junpeng Lao,22,321,67,0
Filipe Filardi,6,37,26,0
anj-s,5,109,58,0
Sagi,1,0,0,0
zhangyaobit,2,0,0,0
Andy Kernahan,6,106,8,0
Steven Winston,1,0,0,0
Tao Wei,1,0,0,0
Bryan Heden,1,0,0,0
foo0x29a,1,0,0,0
ADiegoCAlonso,5,3,3,0
Haggai,10,101,16,0
jinghuangintel,10,293,144,0
Yangzihao Wang,211,10237,1976,1
akindyakov,15,270,69,0
SukHwan Kim,1,0,0,0
imsheridan,102,237,242,1
Jiajia Li,1,2,0,0
MyungSung Kwak,1,0,0,0
Karol M. Langner,1,3,3,0
Wenhao Hu,20,157,75,0
wenhao.hu,6,10,10,0
Neil Tenenholtz,1,0,5,0
Sam Sendelbach,1,2,0,0
eqy,1,0,0,0
Siu Kei Muk,5,57,10,0
David T.H. Kao,3,17,3,0
James Wexler,19,157,64,0
Ka Long,1,0,0,0
Russell Klopfer,3,20,5,0
Seyed Majid Azimi,1,0,0,0
Yihong Wang,1,6,0,0
Quanlong,1,2,0,0
Shaoning Zeng,1,4,4,0
Wai Hon Law,1,0,0,0
Hovhannes Harutyunyan,14,1137,245,1
Seungwoo Choi (Biggie),1,0,0,0
Michal Turek,2,4,0,0
tamimaddari82,1,22,12,0
Ivan Zhang,1,0,0,0
Vadim Markovtsev,4,13,2,0
bhavani-subramanian,1,9,0,0
Rajendra arora,33,64,57,0
Ilya Polenov,1,0,2,0
DosLin,2,2,0,0
nio1814,2,75,23,0
Thomas Bastiani,1,4,0,0
Cédric Deltheil,2,10,5,0
Sebastián Ramírez,1,3,3,0
Jon Shlens,9,534,16,0
Silver Chan,1,0,0,0
Andrew Harp,1323,40343,10059,2
msofka,1,0,0,0
Chris Tava,7,42,22,0
Nathan Burnham,1,2,2,0
Jerry Liu,3,64,7,0
Ou Changkun,1,2,0,0
Maximilian Mitchell,2,4,4,0
Stanislaw Antol,14,396,7,0
Anton Matosov,13,159,79,0
Yashal Shakti Kanungo,1,28,26,0
Marvin Richter,1,0,0,0
Joel Shor,3,46,4,0
Sang Han,2,6,4,0
Frank Perbet,17,441,192,0
Ziyue(Louis) Lu,1,0,0,0
Ankit Gupta,2,2,2,0
Piotr Czapla,2,11,7,0
Surya Bhupatiraju,6,324,68,0
Tarang Chugh,1,0,0,0
Fanjin Zeng,1,0,0,0
Alan Lee,2,0,0,0
Brent Yi,1,0,0,0
Aghasy,1,3,3,1
Giovanni Terlingen,1,4,2,0
Jiongyan Zhang (张炯衍),3,5,3,0
Jakub Kolodziejczyk,7,81,2,0
Jong Wook Kim,1,10,8,0
Xian Xu,1,0,0,0
Aris L,1,0,0,0
qjivy,9,131,5,0
Rodrigo Formigone,1,8,0,0
Laurence Moroney,2,9,0,0
Gor Baghdasaryan,1,0,0,1
Julian Eisenschlos,14,22,22,0
Mustafa Kasap,1,4,0,0
yaox12,1,2,2,0
Animesh Karnewar,1,11,6,0
Jason Sadler,1,0,2,0
Oleg Zabluda,3,12,8,0
Daniel Erenrich,1,2,2,0
ryantimjohn,1,2,2,0
Hanchen Li,12,244,12,1
Siby Jose Plathottam,1,0,0,0
Carl Thomé,14,54,12,0
Panos Ipeirotis,2,7,2,0
Dahan Gong,2,4,2,0
Giuseppe,3,5,9,0
Luke Iwanski,345,5443,1688,1
Chi Zeng,4,57,53,0
Yin Li,2,162,0,0
Peter Lee,1,0,0,0
Minmin Sun,5,901,6,0
Penghao Cen,14,112,60,0
june-one,1,3,3,0
MandarJKulkarni,2,5,5,0
vihanjain,2,8,2,0
Jingwen,1,0,0,0
Daniel Trebbien,14,41,48,0
Seo Sanghyeon,1,0,0,0
Martin Pool,1,3,2,0
terrytangyuan,401,6209,4484,2
Seungil You,6,14,12,0
harumitsu.nobuta,1,0,0,0
Danny Goodman,8,23,20,0
Henry Spivey,1,0,0,0
Deron Eriksson,2,14,14,0
Michael Zhou,5,133,48,0
Abe,2,2,2,0
kdavis-mozilla,1,8,0,0
Naman Kamra,1,0,0,0
Donny Viszneki,1,0,0,0
Jiongyan Zhang,7,355,287,1
DONGGEON LIM,3,138,2,0
MyungsungKwak,1,3,3,0
seaotterman,3,0,0,0
Yukun Chen,13,88,88,0
MyungJoo Ham,11,257,121,0
DylanDmitri,1,2,2,0
Sukriti Ramesh,303,8640,1505,0
mholzel,1,37,0,0
matthieudelaro,1,0,0,0
Johnson145,3,22,14,0
Jerome,8,159,16,0
Liang-Chi Hsieh,3,4,4,0
"Haichen ""HC"" Li",1,0,0,0
lazypanda1,2,4,2,0
Phil,18,955,437,0
Brad Wannow,1,2,2,0
Glenn Weidner,2,0,0,0
Julian Wolff,4,2,2,0
Yusuke Yamada,1,0,0,0
Marcus Ong,24,185,43,0
Francisco Guerrero,1,2,0,1
Tim H,17,1512,234,0
Tod,1,0,0,1
Mahesh Bhosale,1,0,0,0
Rohin Mohanadas,1,0,0,0
JackyKo,20,330,90,0
Chris Drake,1,0,0,0
Kenji,1,0,0,0
lissyx,2,2,2,0
Jeff Tang,1,0,0,0
Jin-Hwan CHO,2,8,8,0
jackyko,33,210,131,1
Anjum Sayed,1,4,2,0
Colin Raffel,6,84,2,0
Dandelion Mané,584,16587,4436,0
simsicon,1,0,6,0
Cole Gerdemann,1,2,2,0
yegord,2,48,42,0
Boris Pfahringer,4,8,8,0
Omar Aflak,1,0,0,0
Qiumin Xu,4,20,15,0
Jean Flaherty,22,1237,0,0
elilienstein,3,4,4,0
resec,24,305,90,0
mjwen,2,39,4,0
Po-Hsien Chu,2,18,20,0
Jun Wang,1,2,3,0
Yoni Tsafir,1,12,0,0
Shrinidhi KL,2,2,0,0
Shengpeng Liu,1,6,0,0
Santiago Castro,6,90,70,0
Keiji Ariyama,2,5,2,0
Armando Fandango,1,5,2,0
Luke Schaefer,1,0,0,0
Stanislav Levental,4,24,2,0
Jian Lin,1,3,0,0
Ashish Kumar Ram,1,0,0,0
Viraj Navkal,1,26,33,0
Sam Matzek,1,51,0,0
David Goodwin,1,8,2,0
Paweł Kapica,4,181,0,0
Jekyll Song,1,0,0,0
Mohamed Aly,3,10,3,0
Darjan Salaj,1,3,3,0
Renat Idrisov,1,0,0,0
Cesc,4,129,26,0
lspvic,5,36,31,0
Jesse Kinkead,3,135,116,0
michaelkhan3,3,14,0,0
Victor Costan,4,10,9,0
Netzeband,1,6,2,0
Clemens Schulz,2,43,42,0
eladweiss,17,1601,897,0
dssgsra,1,0,0,0
Valentin Khrulkov,2,33,0,0
starsblinking,1,0,0,0
yordun,1,0,0,0
Ashwini Shukla,2,350,0,0
Ozge Yalcinkaya,1,85,19,0
Parth P Panchal,4,28,5,0
nathansilberman,3,122,0,0
JerrikEph,2,103,16,0
dmaclach,3,9,4,0
cph,2,15,11,0
Kiril Gorovoy,99,5158,393,3
loki der quaeler,6,157,0,0
fanlu,13,22,22,0
Eunji Jeong,3,3,0,0
Vivek Rane,98,6778,972,1
hyunyoung2,2,2,2,0
tkunic,2,37,12,0
Kasper Marstal,9,9,45,0
Yusef Shafi,2,16,0,0
Takuya Wakisaka,1,2,2,0
Raghu Krishnamoorthi,6,55,30,0
Aiden Scandella,2,6,3,0
Tijmen Verhulsdonck,2,49,8,0
Kamil Sindi,2,51,0,0
vade,1,0,0,0
powderluv,8,464,230,0
Allen Goodman,1,0,0,0
Eric Lilienstein,1,2,2,0
Philip Yang,1,24,2,0
Matt Basta,1,0,0,0
dongsamb,1,3,3,0
Miguel Piedrafita,1,0,0,0
Jay Young,8,14,4,0
clint (woonhyuk baek),2,63,25,0
Patryk Chrabaszcz,9,517,340,0
Lynn Jackson,1,9,4,0
Puyu Wang,1,0,0,0
田传武,11,4,4,0
Simone Cirillo,3,65,53,0
Timofey Kondrashov,2,0,3,0
JoshVarty,5,260,63,0
Edward H,1,0,0,0
jing1.huang,1,4,4,0
codrut3,11,983,92,0
k-w-w,2,14,5,0
Dong--Jian,1,9,0,0
Johnny Chan,1,0,0,0
Stephen Lumenta,4,30,3,0
Rasmus,1,0,0,0
patrickzzy,1,0,0,0
Pierre BLONDEAU,1,2,0,0
Sahil Singh,1,0,0,0
sandipmgiri,5,8,2,0
Su Tang,1,0,0,0
Changming Sun,83,511,262,0
error.d,2,7,3,0
Yaroslav Bulatov,40,185,47,0
Ronald Eddy Jr,3,6,6,0
Matthew Schulkind,2,54,28,0
Dandelion Man?,1632,24761,153869,0
wagonhelm,4,5,5,0
Lucas Sloan,1,0,0,0
Shreyash sharma,4,21,14,0
Randy West,2,9,2,0
Ted Ying,1,0,0,0
Erich Elsen,3,10,4,0
Andrei Costinescu,5,10,10,0
Daniel Ylitalo,19,93,25,0
Mike Knapp,1,4,0,0
Viraj,4,63,49,0
jfaath,2,18,18,0
CQY,5,26,21,0
Chris Donahue,2,13,2,0
Akimasa KIMURA,2,0,0,0
Johan Ju,1,2,0,0
Codrut Grosu,3,27,29,0
Zhengsheng Wei,7,44,38,0
FirefoxMetzger,3,86,87,0
Chris Filo Gorgolewski,1,2,0,0
arixlin,1,0,0,0
hannesa2,6,266,3,0
Adam Zahran,1,0,0,0
MathSquared,2,2,0,0
dongpilYu,4,5,5,0
Josh Varty,2,322,116,0
Dan Becker,31,461,296,0
peisong,1,0,0,0
Toni Kunic,1,0,0,0
Matt Wytock,1,4,3,0
Jan,1,17,14,0
Jeff,13,656,0,0
John Sungjin Park,1,7,7,0
Vishvananda Ishaya Abrams,2,33,3,0
Ishant Mrinal Haloi,1,0,0,0
FredZhang,2,4,4,0
Gary Deer,2,19,0,0
Alexander,13,301,88,0
Charles Shenton,10,1239,0,0
Jimmy Jia,6,69,43,0
Guenther Schmuelling,18,93,30,1
Marek Šuppa,1,0,0,0
László Csomor,11,190,149,0
scott,2,9,3,0
concerttttt,1,0,0,0
Keven Wang,1,0,0,0
zxcqwe4906,1,3,3,0
CSJY,5,40,0,0
Chris Hoyean Song,77,588,103,0
Christopher Shallue,6,139,45,0
Kyle Mills,1,0,0,0
cinqS,2,8,6,0
Daniyar,3,40,9,0
Alistair Low,1,4,3,0
Youssef Hesham,3,0,0,0
Gregg Helt,1,0,0,0
Sandeep Dcunha,1,0,0,0
Winnie Tsang,1,9,9,0
Samuel He,1,0,3,0
PinkySan,1,9,0,0
Mats Linander,1,0,0,0
Alex Rothberg,16,193,51,0
Dave MacLachlan,1,3,0,0
dariavel,21,606,148,0
Joe Castagneri,3,9,7,0
TTrapper,10,246,142,0
Tim,1,67,63,0
Daniel Zhang,2,4,2,0
Thomas Schumm,11,183,10,0
PW486,15,12,15,0
Ralph Tang,1,0,0,0
Cem Eteke,1,37,14,0
amilioto,1,3,0,0
Amy,4,24,18,0
Ilya Edrenkin,7,288,12,0
Cameron Thomas,1,2,0,0
Amir H. Jadidinejad,1,10,0,0
fcharras,1,6,5,0
Nathan van Doorn,1,0,0,0
pks,1,2,0,0
Maximilian Bachl,1,12,10,0
Noa Ezra,3,13,2,0
Toon Verstraelen,1,0,0,0
Yan Chen,24,654,293,0
Yi Yang,1,0,0,0
Qiao Longfei,1,14,11,0
gunan,162,16793,2021,1
miqlas,12,72,19,0
opensourcemattress,6,178,153,0
Eric Lv,1,0,0,0
Steffen Schmitz,1,2,2,0
Gaojin CAO,1,6,6,0
qiao hai-jun,1,2,2,0
Dmitry Trifonov,4,58,0,0
Vish (Ishaya) Abrams,1,3,0,0
Vijay Pai,5,33,14532,0
Bo Wang,24,443,0,0
Matthew Daley,2,58,0,0
Jinze Bai,23,1098,190,0
SaintNazaire,1,14,0,0
Artëm Sobolev,1,2,2,0
Urs Köster,1,7,0,0
nolan liu,13,401,83,0
Dhananjay Nakrani,11,144,85,0
cglewis,3,3,3,0
LevineHuang,2,2,2,0
Rohan Varma,1,0,0,0
Jeremy Sharpe,1,0,0,0
Sarah Maddox,3,54,51,0
Tim Harley,10,143,107,0
ashankar,13,2999,12,0
Mahdi Abavisani,1,2,2,0
chi-hung,1,22,11,0
Christian Grail,1,4,0,0
michelleirvine,1,52,91,0
Se-won Kim,1,0,0,0
Bill Prin,1,0,0,0
Simon Perkins,19,3238,501,0
Ali Yahya,66,2518,1557,0
Ryohei Kuroki,5,4,4,0
Atlas7,2,35,2,0
Sylvus,3,116,3,0
Scott Mudge,1,40,11,0
Armen Donigian,3,3,3,0
Hanmin Qin,1,0,0,0
melvyniandrag,1,0,0,0
ZxYuan,1,2,4,0
Jeff Carpenter,2,3,3,0
Mike Case,2,2,2,0
Scott Kirkland,1,0,2,0
Fan Xia,1,10,10,0
horance,21,116,114,0
Andrew Myers,71,1792,764,0
Sean Vig,2,44,2,0
Pavel Christof,1,0,0,0
John Impallomeni,1,3,3,0
m-smith,1,0,0,0
Anastasios Doumoulakis,26,289,105,0
lhlmgr,2,2,2,0
Matt Smith,1,3,2,0
Dorokhov,1,2,2,0
Ash Hall,1,6,6,0
Jett Jones,1,4,3,0
EMCP,1,0,0,0
Codrut,3,6,7,0
Jean Wanka,2,18,2,0
John B Nelson,1,0,0,0
JKurland,2,10,0,0
Michele Colombo,2,0,0,0
Sven Mayer,2,0,0,0
tetris,1,3,2,0
Kai Sasaki,7,40,29,0
Duncan Mac-Vicar P,3,3,0,0
Aseem Raj Baranwal,4,39,39,0
Patrik Erdes,1,2,0,0
jinze1994,1,12,18,0
